Autoria;Localização de onde foi publicada a obra referenciada;Data de publicação da obra referenciada;Língua da publicação - tradução;Localização da autoria original;Referência completa como consta no artigo;;;;;;;;;;;;;;;;;;;;;
STOLCKE, Verena;Inglaterra;1993;Inglês;Inglaterra;"STOLCKE, Verena. ""Is sex to gender as race is to ethnicity?"". In: DEL VALLE, Teresa. Gendered Anthropology. Londres, Routledge, 1993.";;;;;;;;;;;;;;;;;;;;;
CORRÊA, Mariza;Brasil;1982;Português;Brasil;As ilusões da liberdade – a escola Nina Rodrigues e a antropologia no Brasil, São Paulo, Universidade de São Paulo, 1982.;;;;;;;;;;;;;;;;;;;;;
CANDIDO, Antonio;Brasil;1970;Português;Brasil;"Dialética da malandragem. Jornalivro (8), agosto de 1972; originalmente publicado na Revista do Instituto de Estudos Brasileiros (8), 1970.";;;;;;;;;;;;;;;;;;;;;
CORRÊA, Mariza;Brasil;1994;Português;Brasil;Raça e gênero: o papel da analogia na ciência. In: BUARQUE DE HOLLANDA, Heloisa (org.). Tendências e Impasses – o feminismo como crítica da cultura. Rio de Janeiro, Rocco, 1994.;;;;;;;;;;;;;;;;;;;;;
HARAWAY, Donna;EUA ;1991;Inglês;EUA;Situated knowledges: the science question in feminism and the privilege of partial perspective. In: HARAWAY, Donna. Simians, cyborgs, and women – the reinvention of nature, New York, Routledge, 1991;;;;;;;;;;;;;;;;;;;;;
MOORE, Henrietta;EUA ;1994;Inglês;EUA;A passion for difference, essays in anthropology and gender. Bloomington and Indianapolis, Indiana University Press, 1994.;;;;;;;;;;;;;;;;;;;;;
ASSIS, Machado de;Brasil;1977;Português;Brasil;ASSIS, Machado. Ao vencedor as batatas. São Paulo, Livraria Duas Cidades, 1977, p.166.;;;;;;;;;;;;;;;;;;;;;
BEHN, Aphra;EUA e Inglaterra;1994;Inglês;EUA e Inglaterra;"BEHN'S, Aphra. ""The widow ranter"". In: HENDRICKS, Margo e PARKER, Patricia (eds.). Women, ""race"" & writing in the early modern period. London & New York, Routledge, 1994.";;;;;;;;;;;;;;;;;;;;;
BIRMAN, Patrícia;Brasil;1989;Português;Brasil;BIRMAN, Patricia. Construção da negritude: notas preliminares, em Cativeiro e Liberdade. Rio de Janeiro, UERJ, 1989.;;;;;;;;;;;;;;;;;;;;;
CORRÊA, Mariza;Brasil;1994;Português;Brasil;"CORRÊA, Mariza. ""Generat genus justitiam?"". Revista USP (21), março/ abril/maio, 1994, para um exemplo no âmbito da justiça penal, e Peter Fry p.106";;;;;;;;;;;;;;;;;;;;;
CORRÊA, Mariza;Brasil;1984/1990;Português;Brasil;"CORRÊA, Mariza. ""Mulher e família: um debate sobre a literatura recente"". Boletim Informativo e Bibliográfico de Ciências Sociais (18), 1984 (reproduzido em O que se deve ler em ciências sociais no Brasil (3), São Paulo, ANPOCS/Cortez, 1990.";;;;;;;;;;;;;;;;;;;;;
COSTA, Jurandir Freire;Brasil;1976;Português;Brasil;COSTA, Jurandir Freire. História da psiquiatria no Brasil. Rio de Janeiro, Editora Documentário, 1976.;;;;;;;;;;;;;;;;;;;;;
DA MATTA, Roberto;Brasil;1981;Português;Brasil;DA MATTA, Roberto. Relativizando: uma introdução à antropologia social. Petrópolis, Vozes, 1981.;;;;;;;;;;;;;;;;;;;;;
DEGLER, Carl;EUA;1971;Inglês;EUA;DEGLER, Carl. Neither black nor white. New York, The Macmillan Company, 1971.;;;;;;;;;;;;;;;;;;;;;
FRY, Peter;Brasil;1982;Português;Brasil;FRY, Peter. Para inglês ver. Rio de Janeiro, Zahar editores, 1982, capítulo III.;;;;;;;;;;;;;;;;;;;;;
GAYOSO, Raymundo José de Sousa;Brasil;1970;Português;Brasil;GAYOSO, Raymundo José de Sousa. Compêndio históricopolítico dos princípios da lavoura no Maranhão. São Luís/Rio de Janeiro, Editora Livros do Mundo Inteiro, 1970.;;;;;;;;;;;;;;;;;;;;;
GILLIAM, Angela e GILLIAM, Onik'a;Brasil;1995;Português;Brasil;"GILLIAM, Angela e Onik’a. ""Negociando a subjetividade da mulata no Brasil"". Estudos Feministas, (""Dossiê Mulheres Negras""), 3(2), 1995.";;;;;;;;;;;;;;;;;;;;;
GONZALES, Lélia;Brasil;1983;Português;Brasil;"GONZALES, Lélia. ""Racismo e sexismo na cultura brasileira"". Ciências Sociais Hoje (2), Brasília, ANPOCS, 1983.";;;;;;;;;;;;;;;;;;;;;
GOULD, Stephen Jay;Brasil;1987;Português (tradução EN>PT);EUA;GOULD, Stephen Jay. Darwin e os grandes enigmas da vida. São Paulo, Livraria Martins Fontes Editora, 1987.;;;;;;;;;;;;;;;;;;;;;
GOULD, Stephen Jay;EUA;1981;Inglês;EUA;GOULD, Stephen Jay. The mismeasure of men. New York, W.W. Norton & Company, 1981.;;;;;;;;;;;;;;;;;;;;;
HEILBORN, Maria Luiza;Brasil;1992;Português;Brasil;"HEILBORN, Maria Luiza. ""Fazendo gênero? A antropologia da mulher no Brasil"". In: COSTA Albertina de Oliveira e BRUSCHINI, Cristina (orgs.). Uma questão de gênero. Rio de Janeiro e São Paulo, Rosa dos Tempos/Fundação Carlos Chagas, 1992.";;;;;;;;;;;;;;;;;;;;;
KLEIN, Herbert;Brasil;1978;Português (tradução EN>PT);EUA;"KLEIN, Herbert. ""Os homens livres de cor na sociedade escravista brasileira"". Dados (17), 1978";;;;;;;;;;;;;;;;;;;;;
LANDES, Ruth;Brasil;1967;Português (tradução EN>PT);EUA;LANDES, Ruth. A cidade das mulheres. Rio de Janeiro, Editora Civilização Brasileira S.A., 1967.;;;;;;;;;;;;;;;;;;;;;
LAURETIS, Teresa de (ed.);Brasil;1986;Inglês;EUA;LAURETIS, Teresa de. (ed.) Feminist studies/critical studies. Bloomington, Indiana University Press, 1986.;;;;;;;;;;;;;;;;;;;;;
SUSSEKIND, Flora e VENTURA, Roberto (eds.);Brasil;1981;Português;Brasil;Manoel Bomfim. In: SUSSEKIND, Flora e VENTURA, Roberto (eds.). História e dependência – cultura e sociedade em Manoel Bomfim. São Paulo, Editora Moderna, 1981.;;;;;;;;;;;;;;;;;;;;;
NUNES, Maria Luísa;EUA;1985;Inglês;EUA;"NUNES, Maria Luísa. ""Images of the woman of color in Brazilian literature: O cortiço, Clara dos Anjos, Gabriela, cravo e canela and O quinze"". In: STEADY, Filomina Chioma (ed.). The black woman cross-culturally. Vermont, Schenkman books, Rochester, 1985.";;;;;;;;;;;;;;;;;;;;;
QUEIROZ Júnior, Teófilo de;Brasil;1975;Português;Brasil;QUEIROZ Júnior, Teófilo de. Preconceito de cor e a mulata na literatura brasileira. São Paulo, Ática, 1975.;;;;;;;;;;;;;;;;;;;;;
RABASSA, Gregory;Brasil;1965;Português (tradução EN>PT);EUA;RABASSA, Gregory. O negro na ficção brasileira. Rio de Janeiro, Edições Tempo Brasileiro, 1965.;;;;;;;;;;;;;;;;;;;;;
SEYFERTH, Giralda;Brasil;1991;Português;Brasil;"SEYFERTH, Giralda. ""Os paradoxos da miscigenação: observações sobre o tema imigração e raça no Brasil"". Estudos Afro-asiáticos (20), junho de 1991.";;;;;;;;;;;;;;;;;;;;;
SILVA, Nelson do Valle;(informação não disponível - periódico);1994;Português;Brasil;"SILVA, Nelson do Valle. ""Uma nota sobre 'raça social' no Brasil"". Estudos Afro-asiáticos (26), setembro de 1994.";;;;;;;;;;;;;;;;;;;;;
SKIDMORE, Thomas;Brasil;1976;Português (tradução EN>PT);EUA;SKIDMORE, Thomas. Preto no branco – raça e nacionalidade no pensamento brasileiro. Rio de Janeiro, Paz e Terra, 1976.;;;;;;;;;;;;;;;;;;;;;
STOCKING Jr., George;EUA;1968;Inglês;EUA;STOCKING Jr., George. Race, culture and evolution. Chicago, University of Chicago Press, 1968.;;;;;;;;;;;;;;;;;;;;;
STOLER, Ann Laura;EUA;1989;Inglês;EUA;"STOLER, Ann L. ""Making empire respectable: the politics of race and sexual morality in 20th-century colonial cultures"" American Ethnologist 16(4), november 1989.";;;;;;;;;;;;;;;;;;;;;
SUSSEKIND, Flora;Brasil;1984;Português;Brasil;SUSSEKIND, Flora. Tal Brasil, qual romance?. Rio de Janeiro, Achiamé, 1984.;;;;;;;;;;;;;;;;;;;;;
VIANNA, Hermano;Brasil;1995;Português;Brasil;VIANNA, Hermano. O mistério do samba. Rio de Janeiro, Jorge Zahar editor/Editora da UFRJ, 1995.;;;;;;;;;;;;;;;;;;;;;
CASTRO, Mary;Brasil;1996;Português;Brasil;"CASTRO, Mary.""Mulher Negra, Resistência e Cidadania. E o lugar da multa"". Salvador, mimeo.,1996.";;;;;;;;;;;;;;;;;;;;;
GIDDENS, Anthony;Brasil;1995;Português (tradução EN>PT);EUA;GIDDENS, Anthony. As Conseqüências da Modernidade. São Paulo, UNESP, 1995.;;;;;;;;;;;;;;;;;;;;;
GUATTARI, Félix;Brasil;1990;Português (tradução FR>PT);França;GUATTARI, Felix. As Três Ecologias. Campinas, Papirus, 1990.;;;;;;;;;;;;;;;;;;;;;
ORTIZ, Renato;Brasil;1994;Português;Brasil;ORTIZ, Renato. Mundialização e Cultura. São Paulo, Brasiliense, 1994.;;;;;;;;;;;;;;;;;;;;;
PAIVA, Maria das Graças;Brasil;1995;Português;Brasil;PAIVA, Maria das Graças. Sociologia do Turismo. Campinas, Papirus, 1995.;;;;;;;;;;;;;;;;;;;;;
PISCITELLI, Adriana;Brasil;1995;Português;Brasil;"PISCITELLI, Adriana. ""Sexo Tropical"". Comentários sobre Gênero e ""Raça"" em alguns textos da mídia brasileira"". Texto apresentado na XX Reunião Brasileira de Antropologia, realizado em Salvador-BA, 1995, (publicado neste caderno)";;;;;;;;;;;;;;;;;;;;;
SANTOS, Boaventura de Sousa;Brasil;1995;Português;Portugal;SANTOS, Boaventura de Souza. Pela Mão de Alice: O sol e o político na pós-maternidade. São Paulo, Cortez, 1995.;;;;;;;;;;;;;;;;;;;;;
SOUZA, Otávio;Brasil;1994;Português;Brasil;SOUZA, Otávio. Fantasia de Brasil: As identificações na Busca da Identidade Nacional. São Paulo, Escuta, 1994.;;;;;;;;;;;;;;;;;;;;;
ZADSZNAJDER, Luciano;Brasil;1992;Português;Brasil;ZADSZNAJDER, Luciano. A Travessia do Pós-moderno. Rio de Janeiro, Gryphus, 1992.;;;;;;;;;;;;;;;;;;;;;
RAMOS, Arthur;Brasil;1954;Português;Brasil;Arthur Ramos. O Folclore Negro do Brasil. Rio de Janeiro, Casa do Estudante do Brasil, 1954;;;;;;;;;;;;;;;;;;;;;
RAMOS, Arthur;Brasil;1956;Português;Brasil;Arthur Ramos. O Negro na Civilização Brasileira. Rio de Janeiro, Casa do Estudante do Brasil, 1956.;;;;;;;;;;;;;;;;;;;;;
FANON, Frantz;Brasil;1983;Português (tradução FR>PT);França;FANON, Frantz. Pele Negra, Máscaras Brancas. Rio de Janeiro, Fator, 1983.;;;;;;;;;;;;;;;;;;;;;
FREYRE, Gilberto;Brasil;1989;Português;Brasil;FREYRE, Gilberto. Casa Grande e Senzala. Rio de Janeiro, Record, 1989.;;;;;;;;;;;;;;;;;;;;;
GOMES, Nilma Lino;Brasil;1995;Português;Brasil;"GOMES Lino, Nilma. ""Mulher Negra que Vi de Perto – o processo de construção da identidade racial de professoras negras"". Mazza Edições. 1995.";;;;;;;;;;;;;;;;;;;;;
GOMES, Nilma Lino;Brasil;1994;Português;Brasil;GOMES Lino, Nilma. A trajetória escolar de professoras negras e a sua incidência na construção da identidade racial - um estudo de caso em uma escola municipal de Belo Horizonte, Ano de Obtenção: 1994. Universidade Federal de Minas Gerais, UFMG, Brasil.;;;;;;;;;;;;;;;;;;;;;
GONÇALVES, Luiz Alberto Oliveira;Brasil;1987;Português;Brasil;"GONÇALVES, Luiz Alberto Oliveira. ""Reflexões sobre a particularidade cultural na educação das crianças negras"". Cadernos de Pesquisa (63): 27-29, Fundação Carlos Chagas, novembro de 1987.";;;;;;;;;;;;;;;;;;;;;
NOVAES, Sylvia Caiuby;Brasil;1993;Português;Brasil;NOVAES, Sylvia Caiuby. Jogo de Espelhos. São Paulo, EDUSP,1993.;;;;;;;;;;;;;;;;;;;;;
(Autor não identificado);Brasil;1932;Português;Brasil;Raça e Assimilação. São Paulo, Cia Editora Nacional,1932;;;;;;;;;;;;;;;;;;;;;
RODRIGUES, Nina;Brasil;1935;Português;Brasil;RODRIGUES, Nina. Os Africanos no Brasil. São Paulo, Cia Editora Nacional,1935.;;;;;;;;;;;;;;;;;;;;;
VIANNA, Oliveira;Brasil;1933;Português;Brasil;VIANNA, Oliveira. Evolução do Povo Brasileiro. São Paulo, Cia Editora Nacional, 1933;;;;;;;;;;;;;;;;;;;;;
ANDERSON, Benedict;Brasil;1989;Português (tradução EN>PT);Inglaterra;ANDERSON, Benedict. Nação e Consciência Nacional. São Paulo, Ática, 1989.;;;;;;;;;;;;;;;;;;;;;
DUMONT, Louis;Brasil;1992;Português (tradução FR>PT);França;DUMONT, Louis. Homo Hierarchicus. São Paulo, Edusp, 1992;;;;;;;;;;;;;;;;;;;;;
ELLIS JR., Alfredo;Brasil;1934;Português;Brasil;ELLIS JR., Alfredo. Os Primeiros Troncos Paulistas (e o cruzamento euroamericano).São Paulo, Companhia Editorial Nacional,1934.;;;;;;;;;;;;;;;;;;;;;
FOSTER, Robert;EUA;1991;Inglês;EUA;"FOSTER, Robert. ""Making national cultures in the global ecumene"". Annual Review of Anthropology (20): 241, 1991.";;;;;;;;;;;;;;;;;;;;;
GROSZ, Elizabeth;EUA e Inglaterra;1990;Inglês;EUA e Inglaterra;"GROZS, Elisabeth. ""Conclusion: a note on essencialism and difference"" In: GUNEW, S (ed.) Feminism Knowledge. Critic and construct. London/New York, Routledge, 1990.";;;;;;;;;;;;;;;;;;;;;
JAMESON, Fredric;Brasil;1992;Português (tradução EN>PT);EUA;"JAMESON, Fredric. ""Introdução""; ""A interpretação: a literatura como ato socialmente simbólico""; e ""Conclusão: a dialética da utopia e da ideologia"". In: O inconsciente Político. São Paulo, Ática, 1992.";;;;;;;;;;;;;;;;;;;;;
LAYOUN, Mary;EUA e Inglaterra;1992;Inglês;EUA e Inglaterra;"LAYOUN, Mary. ""Telling spaces: Palestian women and the engendering of national narratives"". In PARKER, Andrew et alli: ""Introduction"". In: Nationalism and Sexualities. London/New York, Routledge, 1992";;;;;;;;;;;;;;;;;;;;;
LEMAIRE, Ria;Brasil;1989;Português;Brasil;"LEMAIRE, Ria. ""Relendo Iracema: o problema da representação da mulher na construção da identidade nacional"". Organon (16), revista do Instituto de Letras da UFRGS, Porto Alegre, 1989.";;;;;;;;;;;;;;;;;;;;;
MANUEL, Frank E.;EUA;1992;Inglês;EUA;"MANUEL, Frank E. ""From equality to organicism"" In: HOROWITZ, M.C. (ed.) Race, Class and Gender in 19th Century Culture. Rochester, University of Rochester Press, 1992.";;;;;;;;;;;;;;;;;;;;;
MONTEIRO, John M.;Brasil;1993;Português;Brasil;"MONTEIRO, Jonh M. ""Caçando com gato: o problema da mestiçagem na obra de Alfredo Ellis Jr."". Trabalho apresentado na XVII Reunião Anual da Anpocs, Caxambú, 1993, p. 7.";;;;;;;;;;;;;;;;;;;;;
PARKER, Andrew et alii;EUA e Inglaterra;1992;Inglês;EUA e Inglaterra;"PARKER, Andrew et alii: ""Introduction"". In: Nationalism and Sexualities. London/New York, Routledge, 1992";;;;;;;;;;;;;;;;;;;;;
PEREIRA DE QUEIROZ, Maria Isaura;Brasil;1992;Português;Brasil;"PEREIRA DE QUEIROZ, M.I. ""Ufanismo paulista: vicissitudes de um imaginário"". Revista USP (13): 79-87,1992";;;;;;;;;;;;;;;;;;;;;
RICARDO, Cassiano;Brasil;1940;Português;Brasil;RICARDO, Cassiano. Marcha para Oeste. Rio de Janeiro, José Olympio, 1940.;;;;;;;;;;;;;;;;;;;;;
VIDAL E SOUZA, Candice;Brasil;1996;Português;Brasil;"VIDAL E SOUZA, Candice: ""A Pátria Geográfica: as representações de sertão e litoral e a construção da Nação no Pensamento Social Brasileiro"". Dissertação de Mestrado, Brasília, PPGAS/UnB,1996.";;;;;;;;;;;;;;;;;;;;;
WILLIAMS, Brackette F.;EUA;1989;Inglês;EUA;"WILLIAMS, Brackette F. ""A class act: Anthropology and race to race nation across ethnic terrain""Annual Review of Anthropology (18): 431, 1989.";;;;;;;;;;;;;;;;;;;;;
RODRIGUES, Nelson;Brasil;1993;Português;Brasil;Bocage no Futebol. In: RODRIGUES, Nelson. À Sombra das Chuteiras Imortais. São Paulo, Cia das Letras, 1993;;;;;;;;;;;;;;;;;;;;;
NOGUEIRA, Armando;Brasil;1974;Português;Brasil;História com dois enes. In: NOGUEIRA, Armando. Bola na Rede. Rio de Janeiro, Livraria José Olímpio Editores, 1974, p.120;;;;;;;;;;;;;;;;;;;;;
"NOGUEIRA, Armando; SOARES, Jô; MUYLAERT, Roberto";Brasil;1983;Português;Brasil;Hungria 54: Um time vertiginoso. In: NOGUEIRA, Armando, SOARES, Jô e MUYLAERT, Roberto. A Copa que ninguém viu... Op.cit., p.46;;;;;;;;;;;;;;;;;;;;;
RODRIGUES FILHO, Mário;Brasil;1994;Português;Brasil;No peito, na raça e no futebol. In: RODRIGUES Filho, Mário. O Sapo de Arubinha. Op.cit., p.240.;;;;;;;;;;;;;;;;;;;;;
RODRIGUES FILHO, Mário;Brasil;1994;Português;Brasil;O ideal de 16 de julho. In: RODRIGUES Filho, Mário. O Sapo de Arubinha. São Paulo, Cia das Letras, 1994, p.202;;;;;;;;;;;;;;;;;;;;;
RODRIGUES, Nelson;Brasil;1994;Português;Brasil;O nosso Obdulinho. In: RODRIGUES, Nelson. O Sapo de Arubinha. São Paulo, Cia das Letras, 1994, p.43;;;;;;;;;;;;;;;;;;;;;
ANDERSON, Benedict;Brasil;1989;Português (tradução EN>PT);Inglaterra;ANDERSON, Benedict. Nação e Consciência Nacional. São Paulo, Ática, 1989, pp.156-162;;;;;;;;;;;;;;;;;;;;;
ARAGÃO, Luiz Tarlei de;Brasil;(informação não disponível);Português;Brasil;"ARAGÃO, Luiz Tarlei de. "" 'Mãe Preta, Tristeza Branca': Processo de Socialização e Distância Social no Brasil"". Série Antropológica (90), Brasília, DAN/UnB, pp.4-5.";;;;;;;;;;;;;;;;;;;;;
ARAÚJO, Ricardo Benzaquen de;Brasil;1980;Português;Brasil;"ARAÚJO, Ricardo Benzaquen de. ""Os Gênios da Pelota. Um Estudo do Futebol como Profissão"". Dissertação de Mestrado, Rio de Janeiro, PPGAS/ Museu Nacional. 1980, p.20";;;;;;;;;;;;;;;;;;;;;
BERNARDES, Artur;Brasil;1992/1994;Português;Brasil;"Artur Bernardes em entrevista ao Jornal do Brasil, 26/4/92, transcrito de GIL, Gilson. ""O drama do 'FutebolArte': o debate sobre a seleção nos anos 70"". Revista Brasileira de Ciências Sociais (25), São Paulo, ANPOCS, 1994, p.104.";;;;;;;;;;;;;;;;;;;;;
BRUNI, José Carlos;Brasil;1994;Português;Brasil;"BRUNI, José Carlos. ""Apresentação"". Revista USP (22), São Paulo, USP, 1994, p.8.";;;;;;;;;;;;;;;;;;;;;
CORRÊA, Lúcia Helena;Brasil;1985;Português;Brasil;"CORRÊA, Lúcia Helena. ""Racismo no Futebol Brasileiro"". In: DIEGUEZ, Gilda Korff (org.). Esporte e Poder. Petrópolis, Vozes, 1985, pp.32-33.";;;;;;;;;;;;;;;;;;;;;
DA MATTA, Roberto;Brasil;1994;Português;Brasil;"DA MATTA, Roberto. ""Antropologia do Óbvio"". Revista USP (22), São Paulo, USP, 1994";;;;;;;;;;;;;;;;;;;;;
DA MATTA, Roberto;Brasil;1982;Português;Brasil;"DA MATTA, Roberto. ""Esporte na Sociedade: Um Ensaio sobre o Futebol Brasileiro"". In: DA MATTA, Roberto et alii. Universo do Futebol: esporte e sociedade Brasileira. Rio de Janeiro, Pinakotheke, 1982, p.29.";;;;;;;;;;;;;;;;;;;;;
DUMONT, Louis;Brasil;1992;Português (tradução FR>PT);França;DUMONT, Louis. Homo Hierarchicus: O Sistema de Castas e suas Implicações. São Paulo, Edusp, 1992, p.357.;;;;;;;;;;;;;;;;;;;;;
DUMONT, Louis;Brasil;1985;Português (tradução FR>PT);França;DUMONT, Louis. O Individualismo: Uma Perspectiva Antropológica da Ideologia Moderna. Rio de Janeiro, Rocco, 1985, p.138.;;;;;;;;;;;;;;;;;;;;;
DUNNING, Eric; Portugal;1992;Português (tradução EN>PT); Portugal;"DUNNING, Eric. ""O desporto como uma área masculina reservada: notas sobre os fundamentos sociais da identidade masculina e as suas transformações"". In: ELIAS, N. e DUNNING, E (orgs.). A Busca da Excitação. Op.cit., pp.399 e ss.";;;;;;;;;;;;;;;;;;;;;
ECO, Umberto;Brasil;1984;Português (tradução IT>PT);Itália;ECO, Umberto. Viagem na Irrealidade Cotidiana. Rio de Janeiro, Nova Fronteira, 1984, p.231.;;;;;;;;;;;;;;;;;;;;;
ELIAS, Norbert;Portugal;1992;Português (tradução EN>PT);Inglaterra;"ELIAS, Norbert. ""Introdução"". In: ELIAS, N. e DUNNING, E (orgs.). A Busca da Excitação. Lisboa, Difel, 1992, pp.94-95.";;;;;;;;;;;;;;;;;;;;;
FLORES, Luiz Felipe B. N.;Brasil;1995;Português;Brasil;"FLORES, Luiz Felipe B.N. ""Futebol, os Jogos – 1 o Turno"". In: Brasil: Futebol Tetracampeão do Mundo (Pesquisa de Campo) (1), Rio de Janeiro, Departamento Cultural/UERJ, 1995, pp.16-17.";;;;;;;;;;;;;;;;;;;;;
FREYRE, Gilberto;Brasil;1971;Português;Brasil;FREYRE, Gilberto. Novo Mundo nos Trópicos. São Paulo, Cia. Editora Nacional/Edusp, 1971, p.97.;;;;;;;;;;;;;;;;;;;;;
GORDON JR., Cesar C.;Brasil;1995;Português;Brasil;"GORDON Jr., Cesar C. ""História Social dos Negros no Futebol Brasileiro"". In: Futebol e Cultura Brasileira (Pesquisa de Campo) (2), Rio de Janeiro, Departamento Cultural/UERJ, 1995, p.73.";;;;;;;;;;;;;;;;;;;;;
GUEDES, Simoni Lahud;Brasil;1977;Português;Brasil;"GUEDES, Simoni Lahud. ""O Futebol Brasileiro – Instituição Zero"". Dissertação de Mestrado, Rio de Janeiro, PPGAS/Museu Nacional, 1977, p.86.";;;;;;;;;;;;;;;;;;;;;
GUEDES, Simoni Lahud;Brasil;1995;Português;Brasil;"GUEDES, Simoni Lahud. ""O Salvador da Pátria – Considerações em Torno da Imagem do Jogador Romário na Copa do Mundo de 1994"". In: Brasil: Futebol Tetracampeão do Mundo (Pesquisa de Campo) (1), Rio de Janeiro, Departamento Cultural/UERJ, 1995, p.24.";;;;;;;;;;;;;;;;;;;;;
HELAL, Ronaldo;Brasil;1994;Português;Brasil;"HELAL, Ronaldo. ""Estádios Vazios, Ausência de Ídolos: Notas para uma Reflexão sobre a Crise do Futebol Brasileiro"". In: Futebol: 100 Anos de Paixão Brasileira (Pesquisa de Campo) (0), Rio de Janeiro, Departamento Cultural/UERJ, 1994, p.61.";;;;;;;;;;;;;;;;;;;;;
HOBSBAWM, Eric;Brasil;1984;Português (tradução EN>PT);Inglaterra;"HOBSBAWM, Eric. ""A Produção em Massa de Tradições: Europa, 1879 a 1914"". In: HOBSBAWM, E. e RANGER, T. A Invenção das Tradições. Rio de Janeiro, Paz e Terra, 1984, pp.309-311.";;;;;;;;;;;;;;;;;;;;;
HOBSBAWM, Eric;Brasil;1990;Português (tradução EN>PT);Inglaterra;HOBSBAWM, Eric. Nações e Nacionalismo desde 1780. Rio de Janeiro, Paz e Terra, 1990, p.87.;;;;;;;;;;;;;;;;;;;;;
KLEIN, Melanie;Brasil;sd;Português (tradução EN>PT);Inglaterra;"KLEIN, Melanie. ""Contribuições à psicanálise"", citado em CARVALHO, Sandra Salomão. ""Aspectos Psicossociais do Esporte"". In: DIEGUEZ, Gilda Korff (org.). Esporte e Poder Op.cit., p.84.";;;;;;;;;;;;;;;;;;;;;
KLINTOWITZ, Jacob;Brasil;1978;Português;Brasil;"KLINTOWITZ, Jacob. ""A Implantação de um modelo alienígena exótico e outras questões pertinentes: a Seleção Brasileira de Futebol – 1978"". Encontros com a Civilização Brasileira (5), Rio de Janeiro, 1978, p117.";;;;;;;;;;;;;;;;;;;;;
LEVINE, Robert M.;Brasil;1982;Português (tradução EN>PT);Inglaterra;"LEVINE, Robert M. ""Esporte e Sociedade: o caso do futebol brasileiro"". In: MEIHY, J.C.S.B. e BERTOLLI Filho, C. (Orgs.) Futebol e Cultura: Coletânea de Estudos. São Paulo, Imprensa Oficial/Arquivo do Estado, 1982, pp.42-43.";;;;;;;;;;;;;;;;;;;;;
LOPES, José Sérgio Leite;Brasil;1994;Português;Brasil;"LOPES, José Sérgio L. ""A Vitória do Futebol que Incorporou a Pelada"". Revista USP (22), São Paulo, USP,1994, p.75.";;;;;;;;;;;;;;;;;;;;;
MEIHY, José Carlos Sebe Bom;Brasil;1982;Português;Brasil;"MEIHY, José Carlos Sebe Bom. ""Para que serve o Futebol?"". In: Futebol e Cultura: Coletânea de Estudos. São Paulo, Imprensa Oficial/Arquivo do Estado, p.15.";;;;;;;;;;;;;;;;;;;;;
MURAD, Maurício;Brasil;1994;Português;Brasil;"MURAD, Maurício. ""Corpo, Magia e Alienação – O Negro no Futebol Brasileiro: Por uma interpretação Sociológica do Corpo como Representação Social"". In: Futebol: 100 Anos de Paixão Brasileira (Pesquisa de Campo). (0). Op.cit., p.75.";;;;;;;;;;;;;;;;;;;;;
MURAD, Maurício;Brasil;1995;Português;Brasil;"MURAD, Maurício. ""O Lugar Teórico da Sociologia do Futebol"". In: Futebol e Cultura Brasileira... (Pesquisa de Campo) (2). Rio de Janeiro, Departamento Cultural/UERJ, 1995, p.113.";;;;;;;;;;;;;;;;;;;;;
PARKER, Andrew et al;EUA;1992;Inglês;EUA;"PARKER, Andrew et al. ""Introduction"". In: Nationalism and Sexualities. New York, Routledge, 1992.";;;;;;;;;;;;;;;;;;;;;
PEFFERKORN, Maurice;Brasil;sd;Francês;França;"PEFFERKORN, Maurice. ""Les écoles de football"", citado em LOPES, José Sérgio L. ""A Morte da Alegria do Povo"". Revista Brasileira de Ciências Sociais (20), São Paulo, ANPOCS, 1992, p.124.";;;;;;;;;;;;;;;;;;;;;
PRADO, Decio de Almeida;Brasil;1994;Português;Brasil;"PRADO, Decio de Almeida. ""Dois Textos"". Revista USP (22), São Paulo, USP, 1994, p.24.";;;;;;;;;;;;;;;;;;;;;
RODRIGUES, Nelson;Brasil;1994;Português;Brasil;"RODRIGUES, Nelson. O Sapo de Arubinha. São Paulo, Cia das Letras, 1994, p.43); ""o que nos doeu mais foi o contraste entre a garra uruguaia e a quase passividade brasileira"" (""O ideal de 16 de julho"". In: RODRIGUES Filho, Mário. O Sapo de Arubinha. São Paulo, Cia das Letras, 1994, p.202)";;;;;;;;;;;;;;;;;;;;;
ROSENFELD, Anatol;Brasil;1993;Português;Brasil;ROSENFELD, Anatol. Negro, Macumba e Futebol. São Paulo, Edusp, 1993, pp.95-96.;;;;;;;;;;;;;;;;;;;;;
SAMPAIO, Nadja;Brasil;1985;Português;Brasil;"SAMPAIO, Nadja. ""O Esporte na Televisão"". In: DIEGUEZ, Gilda Korff (org.). Esporte e Poder. Op.cit., p.66.";;;;;;;;;;;;;;;;;;;;;
SEVCENKO, Nicolau;Brasil;1994;Português;Brasil;"SEVCENKO, Nicolau. ""Futebol, Metrópoles e Desatinos"". Revista USP (22), São Paulo, USP, 1994";;;;;;;;;;;;;;;;;;;;;
SEVCENKO, Nicolau;Brasil;1994;Português;Brasil;"SEVCENKO, Nicolau. ""Utopia fatal"". In: RODRIGUES, Nelson. A Pátria em Chuteiras. São Paulo, Cia das Letras, 1994, p.130).";;;;;;;;;;;;;;;;;;;;;
