ANO,Nº,TIPO,AUTORIA,LÍNGUA DE PUBLICAÇÃO,TRADUTOR(A),LOCALIZAÇÃO DA AUTORIA (país),TÍTULO,PALAVRAS-         CHAVE,PLANILHA CITAÇÕES E REFS
2002,17/18,"Artigo Dossiê ""Gênero no Trabalho""","Angela Maria Carneiro Araújo e
Elaine Regina Aguiar Amorim",PT,x,Brasil,"Redes de subcontratação e trabalho a
domicílio na indústria de confecção:
um estudo na região de Campinas","Trabalho Feminino, Indústria de Confecção, Redes
de Subcontratação, Trabalho a Domicílio",
2002,17/18,"Artigo Dossiê ""Gênero no Trabalho""",Leila Maria da Silva Blass,PT,x,Brasil,Mulheres fora de lugar?," Mulheres, Indústrias Automobilísticas, Portugal,
Brasil, Emprego Industrial Feminino, Formas Modernas de Gestão
da Produção, Formas Modernas de Gestão do Trabalho",
2002,17/18,"Artigo Dossiê ""Gênero no Trabalho""","Orlandina de Oliveira e
Marina Ariza",ES,x,México,"Transiciones familiares
y trayectorias laborales femeninas
en el México urbano","Actividad Económica Femenina, Transformaciones
Estructurales, Transiciones Familiares, Trayectorias Laborales, Relaciones
de Género",
2002,19,Artigo Regular,Gayatri Chakravorty Spivak,EN>PT,Plínio Dentzien,EUA,Literatura,"Gênero, Desconstrução, Imperialismo, Sujeito Nativo",
2002,19,Artigo Regular,Claudia de Lima Costa,PT,x,Brasil,"O sujeito no feminismo:
revisitando os debates","Identidade, Diferença, Teorias Feministas, Pós-
 Estruturalismo, Lugar de Enunciação",
2002,19,Artigo Regular,Maria Lúcia Dal Farra,PT,x,Brasil,Florbela erótica,"Florbela Espanca, Poesia, Crítica Literária",
2002,19,Artigo Regular,Vavy Pacheco Borges,PT,x,Brasil,"Uma mulher e suas emoções:
o diário de Eugénie Leuzinger Masset (1885-1889)","Diário, Mulheres, Imagem, Emoções, Século XIX",
2002,19,Artigo Regular,Susane Rodrigues de Oliveira,PT,x,Brasil,"As sacerdotisas do sol:
imagens sagradas e profanas do feminino nas
crônicas espanholas do século XVI","Acclas, Incas, Cronistas, Sagrado, Mulheres, Monjas, Vestais, Concubinas",
2002,19,Artigo Regular,Heloisa Buarque de Almeida,PT,x,Brasil,"Melodrama comercial –
reflexões sobre a feminilização da telenovela","Telenovela, Gênero, Consumo, Publicidade",
2002,19,Artigo Regular,Adriana Piscitelli,PT,x,Brasil,"Exotismo e autenticidade:
relatos de viajantes à procura de sexo","Turismo, Sexualidade, Prostituição",
2002,19,Artigo Regular,Naara Luna,PT,x,Brasil,"Maternidade desnaturada:
uma análise da barriga de aluguel e
da doação de óvulos","Novas Tecnologias Reprodutivas, Barriga de
Aluguel, Doação de Óvulos, Maternidade, Parentesco",
2002,19,Artigo Regular,Vera Simone Schaefer Kalsing,PT,x,Brasil,"O debate do aborto:
a votação do aborto legal no Rio Grande do Sul","Aborto, Religião, Vida, Verdade",
2003,20,"Artigo ""Dossiê Erotismo""",Anne McClintok,EN>PT,Plínio Dentzien,Inglaterra,"Couro imperial:
Raça, travestismo e o culto da domesticidad","Fetichismo, Sadomasoquismo, Trabalho
Doméstico, Era Vitoriana",
2003,20,"Artigo ""Dossiê Erotismo""",Maria Filomena Gregori,PT,x,Brasil,Relações de violência e erotismo,"Violência, Gênero, Erotismo, Pornografia, SexShops, Teorias Feministas",
2003,20,"Artigo ""Dossiê Erotismo""",Eliane Robert Moraes,PT,x,Brasil,O efeito obsceno,"Literatura Erótica, Pornografia, Obscenidade,
Aretino, Sade, Henry Miller",
2003,20,"Artigo ""Dossiê Erotismo""",Michel Bozon,FR>PT,Plínio Dentzien,França,"Sexualidade e conjugalidade
A redefinição das relações de gênero na França
contemporânea","Sexualidade, Vida Conjugal, Relações de Gênero,
França",
2003,20,Artigo Regular,Richard Miskolci,PT,x,Brasil,"Uma brasileira –
a outra história de Julia Mann","Julia Mann, Gênero, Nacionalidade, Raça,
Cidadania",
2003,20,Artigo Regular,Alinne de Lima Bonetti,PT,x,Brasil,"Entre femininos e masculinos:
negociando relações de gênero no campo
político","Relações de Gênero, Participação Política,
Mulheres",
2003,21,"Artigo ""Dossiê Mídia""",Maria Celeste Mira,PT,x,Brasil,"O masculino e o feminino nas narrativas
da cultura de massas
ou o deslocamento do olhar","Gênero, Narrativa, Cultura de Massa",
2003,21,"Artigo ""Dossiê Mídia""",Isabel Ferin Cunha,PT,x,Portugal,"A revolução da Gabriela:
o ano de 1977 em Portugal","Gênero, Análise dos Media, Telenovela Brasileira,
Portugal, Estilos de Vida",
2003,21,"Artigo ""Dossiê Mídia""",Lila Abu-Lughod,EN>PT,Heloisa Buarque de Almeida,USA,"Melodrama Egípcio:
uma tecnologia do sujeito moderno?","Gênero, Subjetividade, Melodrama, Recepção,
Egito",
2003,21,"Artigo ""Dossiê Mídia""",Mariana Meloni Vieira Botti,PT,x,Brasil,"Fotografia e fetiche:
um olhar sobre a imagem da mulher","Fetiche, Fotografia, Erotismo, Moda, Corpo",
2003,21,"Artigo ""Dossiê Mídia""",Guita Grin Debert,PT,x,Brasil,O velho na propaganda," Gênero, Velhice, Publicidade, Mídia, Consumo",
2003,21,Artigo Regular,Judith Butler,EN>PT,Valter Arcanjo da Ponte,EUA,"O parentesco é sempre tido como
heterossexual?","Casamento Gay, Parentesco, Psicanálise,
Heterossexualidade, Teoria Política",
2003,21,Artigo Regular,Miriam Pillar Grossi,PT,x,Brasil,"Gênero e parentesco:
famílias gays e lésbicas no Brasil","Parentesco, Homossexualidade, Gênero,
Família",
2003,21,Artigo Regular,Helena Altmann,PT,x,Brasil,"Orientação sexual em uma escola:
recortes de corpos e de gênero","Orientação Sexual, Escola, Sexualidade, Gênero,
Adolescente",
2004,22,"Artigo Dossiê ""O gênero da moda e outros gêneros""",Heloisa Pontes,PT,x,Brasil,"Modas e modos:
uma leitura enviesada de O espírito das roupa","Gilda de Mello e Souza, Moda, Gênero,
Distinção Social, Ensaio de Sociologia Estética",
2004,22,"Artigo Dossiê ""O gênero da moda e outros gêneros""",Maria Claudia Bonadio,PT,x,Brasil,"Dignidade, celibato e bom
comportamento:
relatos sobre a profissão de modelo e
manequim no Brasil dos anos 1960"," Modelo e Manequim, Trabalho, Memória",
2004,22,"Artigo Dossiê ""O gênero da moda e outros gêneros""",Alexandre Bergamo,PT,x, Brasil,"Elegância e atitude:
diferenças sociais e de gênero no mundo da moda","Moda, Gênero, Distinção Social, Representação
da Realidade",
2004,22,"Artigo Dossiê ""O gênero da moda e outros gêneros""",Gabriela Cano,ES>PT,Plínio Dentzien,México,"Amélio Robles, andar de soldado velho:
fotografia e masculinidade na Revolução Mexicana","Revolução Mexicana, Transgênero,
Masculinidade, Performance de Gênero",
2004,22,"Artigo Dossiê ""O gênero da moda e outros gêneros""",Mary Louise Pratt,ES,x,EUA,"Mi cigarro, mi Singer,
y la revolución mexicana:
la danza ciudadana de Nellie Campobello","Gênero, Nellie Campobello, Revolução Mexicana,
Revolução Sexual, Literatura",
2004,22,"Artigo Dossiê ""O gênero da moda e outros gêneros""",Mariza Corrêa,PT,x,Brasil,Trampas do traje," Juana Inês de la Cruz, Travestismos, Poesia
Latino-Americana, México",
2004,22,Artigo Regular,Donna Haraway,EN>PT,x,EUA,"“Gênero” para um dicionário marxista:
a política sexual de uma palavra"," Gênero, Marxismo, Teoria Feminista, Teoria
Feminista Norte-Americana",
2004,22,Artigo Regular,Marília Pinto de Carvalho,PT,x,Brasil,"O fracasso escolar
de meninos e meninas:
articulações entre gênero e cor/raça","Desempenho Escolar, Ensino Fundamental,
Gênero, Raça",
2004,22,Artigo Regular,Eliane Sebeika Rapchan,PT,x,Brasil,"Hannah Arendt - Rahel Levin: duas biografias, sujeito e espelho",Hannah Arendt; Rahel Levin; Método Biográfico; Indivíduo; Identidade; Romantismo,
2004,23,Artigo Regular,Ella Shohat,EN>PT,Plínio Dentzien,EUA,"Des-orientar Cleópatra:
um tropo moderno da identidade","Cleópatra, Gênero, Raça, Pós-Colonialismo",
2004,23,Artigo Regular,Laura Moutinho,PT,x,Brasil,"“Raça”, sexualidade e gênero na
construção da identidade nacional:
uma comparação entre Brasil e África do Sul","Raça, Sexualidade, Nação, Literatura, Gênero,
Brasil, África do Sul",
2004,23,Artigo Regular,Osmundo de Araújo Pinho,PT,x,Brasil,"O efeito do sexo:
políticas de raça, gênero e miscigenação","Miscigenação, Reafricanização, Beleza Negra,
Brau",
2004,23,Artigo Regular,Tiago de Melo Gomes,PT,x,Brasil,"Massais, mulatas, meretrizes:
imagens da sexualidade feminina no Rio de Janeiro
dos anos 1920","Gênero, Raça, Sexualidade, Modernidade",
2004,23,Artigo Regular,Luiz Gustavo Freitas Rossi,PT,x,Brasil,As cores e os gêneros da revolução,"Jorge Amado, Raça, Classe Social, Gênero",
2004,23,Artigo Regular,Angela Figueiredo,PT,x,Brasil,"Fora do jogo:
a experiência dos negros na classe média
brasileira"," Racismo, Ascensão Social, Classe Média Negra",
2004,23,Artigo Regular,Luciana Pontes,PT,x,Portugal,"Mulheres brasileiras na mídia
portuguesa","Gênero, Nacionalidade/Etnicidade,
Sexualização, Imigração",
2004,23,Artigo Regular,Igor José de Renó Machado,PT,x,Brasil,"Afetividade e poder
entre os imigrantes brasileiros no Porto","Emigração Brasileira, Relações Afetivas, Poder,
Portugal",
2004,23,Artigo Regular,Ethel V. Kosminsky,PT,x,Brasil,"Questões de gênero em estudos
comparativos de imigração:
mulheres judias em São Paulo e em Nova York"," Gênero, Imigração, Geração",
2004,23,Artigo Regular,Sander L. Gilman,EN>PT,Richard Miskolci,EUA,"Obesidade como deficiência:
o caso dos judeus","Obesidade, Corpo, Deficiência Física, Judeus,
Gênero",
2005,24,"Artigo Dossiê ""Gênero e Saúde""",Regina Morantz-Sanchez,EN>PT,Daniela Araújo,EUA,De “corpos” a “pessoas”: a atuação das pacientes através do julgamento da Dra. Mary Dixon Jones de 1892,"Ginecologia, Corpo Feminino, Doença, Gênero,
Atuação",
2005,24,"Artigo Dossiê ""Gênero e Saúde""",Maria Lucia Mott,PT,x,Brasil,"Gênero, medicina e filantropia:
Maria Rennotte e as mulheres na construção
da nação"," Filantropia, Gênero, Profissionais de Saúde, Medicina, Cruz Vermelha, Maria Rennotte",
2005,24,"Artigo Dossiê ""Gênero e Saúde""",Heloísa Helena Pimenta Rocha,PT,x,Brasil,"A educação sanitária
como profissão feminina","História da Educação, Educação Sanitária, Saúde, Maria Antonieta de Castro, Educadoras Sanitária",
2005,24,"Artigo Dossiê ""Gênero e Saúde""","Marta Júlia Marques Lopes
Sandra Maria Cezar Leal",PT,x,Brasil,"A feminização persistente
na qualificação profissional
da enfermagem brasileira","Enfermagem, Feminização, Divisão Sexual do
Trabalho",
2005,24,Artigo Regular,Amílcar Torrão Filho ,PT,x,Brasil,"Uma questão de gênero:
onde o masculino e o feminino se cruzam ","Gênero, Historiografia, Masculinidade,
Homossexualidade, Misoginia",
2005,24,Artigo Regular,Fabio Gutemberg Ramos Bezerra de Sousa,PT,x,Brasil,"Na casa e... na rua:
 cartografias das mulheres na cidade
(Campina Grande, 1930-1945)","Mulheres, Gênero, Cidade, Cotidiano popular",
2005,24,Artigo Regular,André Cordeiro,PT,x,Brasil,"Aspectos do feminino e masculino
na arte de Ismael Nery","Androginia, Espiritualidade, Narcisismo,
Modernismo",
2005,24,Artigo Regular,Luiz Mello,PT,x,Brasil,"Outras famílias:
A construção social da conjugalidade
homossexual no Brasil","Homossexualidade, Família, Conjugalidade,
Parceria Civil",
2005,24,Artigo Regular,Anna Paula Vencato,PT,x,Brasil,"Fora do armário, dentro do closet:
o camarim como espaço de transformação","Corporalidade, Cross-Dressing, Gênero,
Drag Queens, Etnografia",
2005,24,Artigo Regular,Paula Sandrine Machado,PT,x,Brasil,"O sexo dos anjos:
um olhar sobre a anatomia e a produção
do sexo (como se fosse) natural","Intersexo, Sexo, Gênero, Representações
Corporais, Antropologia Médica",
2005,25,Artigo Regular,Cristiana Schettini Pereira,PT,x,Brasil,"Lavar, passar e receber visitas:
debates sobre a regulamentação da prostituição e
experiências de trabalho sexual em Buenos Aires e
no Rio de Janeiro, fim do século XIX","Prostituição, Escravidão, Rio de Janeiro,
Buenos Aires, Século XIX",
2005,25,Artigo Regular,Kamala Kempadoo,EN>PT,Plinio Dentzien,EUA,"Mudando o debate sobre o
tráfico de mulheres","Tráfico de Pessoas, Discursos Feministas,
Migração",
2005,25,Artigo Regular,"Laura Mª Agustín",ES,x,Reino Unido,"La industria del sexo,
los migrantes y la familia europea","Prostitución, Turismo Sexual, Tráfico,
Trabajo Sexual, Gubernamentalidad",
2005,25,Artigo Regular,Gloria Patricia Díaz Barrero,ES,x,Canadá,"Stripers, bailarinas exóticas, eróticas:
identidad e inmigración en la construcción
del Estado canadiense"," Inmigración, Bailarinas Exóticas, Striptease,
Canadá, Trabajo Sexual",
2005,25,Artigo Regular,Grupo Davida,PT,x,Brasil,"Prostitutas, “traficadas”
e pânicos morais:
uma análise da produção de fatos em pesquisas
sobre o “tráfico de seres humanos”","Tráfico de Seres Humanos, Prostituição, Brasil,
Pânico Moral",
2005,25,Artigo Regular,Elisiane Pasini,PT,x,Brasil,"Sexo para quase todos:
a prostituição feminina na Vila Mimosa","Prostituição Feminina, Turismo, Relações de
Gênero, Rio de Janeiro, Vila Mimosa",
2005,25,Artigo Regular,"Larissa Pelúcio
",PT,x,Brasil,"Na noite nem todos os gatos são pardos
Notas sobre a prostituição travesti","Travestis, Prostituição, Clientes, Gênero,
Sexualidade",
2005,25,Artigo Regular,"Ana Paula da Silva
Thaddeus Blanchette",PT,x,Brasil,"“Nossa Senhora da Help”:
sexo, turismo e deslocamento transnacional em
Copacabana","Turismo Sexual, Prostituição, Copacabana,
Tráfico de Mulheres, Gringos",
2005,25,Artigo Regular,Adriana Piscitelli,PT,x,Brasil,"Viagens e sexo on-line:
a Internet na geografia do turismo sexual","Ciberespaço, Sexualidade, Turismo Sexual,
Racialização",
2005,25,Artigo Regular,Marta E. Savigliano,ES,x,EUA,"Destino Buenos Aires:
tango-turismo sexual cinematografico","Tango en el Cine, Turismo Cultural y
Sexualidad, Inter/Multi/Trans-culturalismo en el
Cine, Femmes Fatales",
2006,26,"Artigo Dossiê ""Repensando a Infância""",Claudia Fonseca,FR>EN>PT,Ethon S. A. da Fonseca,Brasil,"Da circulação de crianças à adoção
internacional:
questões de pertencimento e posse"," Crianças, Parentesco, Adoção, Políticas Sociais",
2006,26,"Artigo Dossiê ""Repensando a Infância""",Mónica Tarducci,ES,x,Argentina,"“Traficos fronterizos”.
Introducción a la problemática de la adopción de
niños en Misiones, Argentina","Adopción, Adopción Transnacional,
Tráfico de Personas",
2006,26,"Artigo Dossiê ""Repensando a Infância""",Joice Melo Vieira,PT,x,Brasil,"Era uma vez...
Esta pode ser a sua história","Adoção, Literatura Infantil, Filiação, Maternidade,
Paternidade, Gênero",
2006,26,"Artigo Dossiê ""Repensando a Infância""",Graziela Serroni Perosa,PT,x,Brasil,"A aprendizagem das diferenças sociais:
classe, gênero e corpo
em uma escola para meninas","Socialização, Escola Privada, Diferenciação Social",
2006,26,"Artigo Dossiê ""Repensando a Infância""","Tânia Mara Cruz
Marília Pinto de Carvalho",PT,x,Brasil,"Jogos de gênero:
o recreio numa escola de ensino fundamental","Recreio Escolar, Brincadeiras, Relações de
Gênero, Conflito",
2006,26,"Artigo Dossiê ""Repensando a Infância""",Jucélia Santos Bispo Ribeiro,PT,x,Brasil,"Brincadeiras de meninas e de meninos:
socialização, sexualidade e gênero entre crianças e a
construção social das diferenças","Gênero, Socialização, Sexualidade",
2006,26,"Artigo Dossiê ""Repensando a Infância""",Érica Renata de Souza,PT,x,Brasil,"Marcadores sociais da diferença e
infância:
relações de poder no contexto escolar"," Infância, Educação, Gênero, Sexualidade,
Homossexualidade",
2006,26,"Artigo Dossiê ""Repensando a Infância""",Jane Felipe,PT,x,Brasil,"Afinal, quem é mesmo pedófilo?","Infância, Gênero, Sexualidade, Pedofilia",
2006,26,"Artigo Dossiê ""Repensando a Infância""",Tatiana Savoia Landini,PT,x,Brasil,"Violência sexual contra crianças na
mídia impressa: gênero e geração"," Violência Sexual, Violência contra a Criança,
Sexualidade, Gênero, Mídia",
2006,26,"Artigo Dossiê ""Repensando a Infância""",Elisiane Sartori,PT,x,Brasil,"Trabalho infantil em Franca:
um laboratório das lutas sociais em defesa da
criança e do adolescente"," Gênero, Trabalho Infantil, Políticas Públicas,
Indústria de Calçados, Franca",
2006,26,"Artigo Dossiê ""Repensando a Infância""",Ana Lúcia Goulart de Faria,PT,x,Brasil,"Pequena infância, educação e gênero:
subsídios para um estado da arte","Pequena Infância, Movimento Feminista,
Relações de Gênero, Educação Infantil,
Creche, Pré-Escola",
2006,26,"Artigo Dossiê ""Repensando a Infância""",Luzinete Simões Minella,PT,x,Brasil,"Papéis sexuais e hierarquias de gênero
na História Social sobre infância no
Brasil","Gênero, Infância, Papéis Sexuais, Estudos
Histórico-Sociais",
2006,26,Artigo Regular,Avtar Brah,EN>PT,Não consta nome,Inglaterra,"Diferença, diversidade, diferenciação","Interseccionalidades, Diferença, Teoria Feminista,
Racismos, Gênero, Classe",
2006,26,Artigo Regular,Céli Regina Jardim Pinto,PT,x,Brasil,"Quem tem direito ao “uso do véu”?
(uma contribuição para pensar a questão brasileira)","Universalismo, Diferença, Mulheres, Religião,
Esfera Pública",
2006,26,Artigo Regular,Cristiane Maria Sbalqueiro Lopes,PT,x,Brasil,"Direito do trabalho da mulher:
da proteção à promoção","Direito do Trabalho, Mulher, Discriminação,
Ideologia",
2007,27,"Artigo Dossiê ""Gênero na ciência""",Evelyn Fox Keller,EN>PT,Maria Luiza Lara,EUA,"Qual foi o impacto do
feminismo na ciência?","Gênero, Ciência, Crítica Feminista da Ciência",
2007,27,"Artigo Dossiê ""Gênero na ciência""",Maria Margaret Lopes,PT,x,Brasil,"Sobre convenções em torno de
argumentos de autoridade"," História das Ciências, Gênero em ciências,
Estudos feministas das ciências, Objetividade",
2007,27,"Artigo Dossiê ""Gênero na ciência""",Carla Giovana Cabral,PT,x,Brasil,"Pelas telas, pela janela:
o conhecimento dialogicamente situado"," Epistemologia, Gênero, Ciência e Tecnologia",
2007,27,"Artigo Dossiê ""Gênero na ciência""",Apen Ruiz Martinez,ES,x,Espanha,"Zelia Nuttall e Isabel Ramírez:
las distintas formas de practicar y escribir sobre
arqueología en el México de inícios del siglo XX","Zelia Nuttall, Isabel Ramírez Castañeda, Historia
de la Antropología, Género, Nacionalismo",
2007,27,"Artigo Dossiê ""Gênero na ciência""",Susana V. García,ES,x,Argentina,"Ni solas ni resignadas:
la participación femenina en las actividades
científico-académicas de la Argentina en los inicios
del siglo XX","Mujeres, Universidad, Ciencias Naturales,
Museos",
2007,27,"Artigo Dossiê ""Gênero na ciência""",Lina Faria,PT,x,Brasil,"Educadoras Sanitárias e Enfermeiras de
Saúde Pública:
identidades profissionais em construção","Mulheres Educadoras, Mulheres Enfermeiras,
Identidade Profissional, Saúde Pública",
2007,27,"Artigo Dossiê ""Gênero na ciência""","Nara Azevedo
Luiz Otávio Ferreira",PT,x,Brasil,"Modernização, políticas públicas e
sistema de gênero no Brasil:
educação e profissionalização feminina entre as
décadas de 1920 e 1940"," Modernização, Políticas Públicas, Sistema de
Gênero, Educação, Profissionalização Feminina",
2007,27,"Artigo Dossiê ""Gênero na ciência""","Juliana Schwartz
Lindamir Salete Casagrande
Sonia Ana Charchut Leszczynski
Marilia Gomes de Carvalho",PT,x,Brasil,"Mulheres na informática:
quais foram as pioneiras?","Mulheres, Ciência, História da Informática,
Pioneiras",
2007,27,"Artigo Dossiê ""Gênero na ciência""","Neide Mayumi Osada
Maria Conceição da Costa",PT,x,Brasil,"A construção social de gênero
na Biologia:
preconceitos e obstáculos na biologia molecular"," Gênero, Mulheres e Ciência, Biologia Molecular,
Projeto Genoma",
2007,27,"Artigo Dossiê ""Gênero na ciência""","Hildete Pereira de Melo
André Barbosa Oliveira",PT,x,Brasil,"A produção científica brasileira no
feminino","Gênero, Indicadores, Produção Científica",
2007,27,Artigo Regular,Maria Lúcia Dal Farra,PT,x,Brasil,Cecília Meireles: imagens femininas,"Mulheres Poetas, Literatura, Poesia, Cecília Meireles",
2007,27,Artigo Regular,Marina Becerra,ES,x,Argentina,"All you need is love.
Ciudadanía, género y educación en los debates del
primer socialismo argentino"," Socialismo, Género, Ciudadanía, Educación,
Política",
2007,27,Artigo Regular,Yumi Garcia dos Santos,PT,x,Brasil,"A implementação dos órgãos
governamentais de gênero no Brasil e o
papel do movimento feminista:
o caso do Conselho Estadual da Condição
Feminina de São Paulo","Movimento feminista, Democracia, Conselho
Estadual da Condição Feminina, Estado",
2007,28,"Artigo Dossiê ""Sexualidades Disparatadas""",Eve Kosofsky Sedgwick,EN>PT,Plinio Dentzien,EUA,A epistemologia do armário,"Armário, Segredo Aberto, Conhecimento,
Sexualidade, Verdade",
2007,28,"Artigo Dossiê ""Sexualidades Disparatadas""",Richard Miskolci,PT,x,Brasil,Comentário,x,
2007,28,"Artigo Dossiê ""Sexualidades Disparatadas""","Sérgio Carrara
Júlio Assis Simões",PT,x,Brasil,"Sexualidade, cultura e política:
a trajetória da identidade homossexual masculina
na antropologia brasileira"," Homossexualidade, Antropologia Brasileira,
Identidades Sexuais, Identidade Nacional",
2007,28,"Artigo Dossiê ""Sexualidades Disparatadas""",Richard Miskolci,PT,x,Brasil,"Pânicos morais e controle social –
reflexões sobre o casamento gay","Pânicos Morais, Controle Social, Casamento Gay,
Política Sexual",
2007,28,"Artigo Dossiê ""Sexualidades Disparatadas""","Márcia Arán
Carlos Augusto Peixoto Júnior",PT,x,Brasil,"Subversões do desejo:
sobre gênero e subjetividade em Judith Butler","Gênero, Sexualidade, Desejo, Subjetividade",
2007,28,"Artigo Dossiê ""Sexualidades Disparatadas""",Nádia Perez Pino,PT,x,Brasil,"A teoria queer e os intersex:
experiências invisíveis de corpos des-feitos","Intersex, Paradoxos Identitários, Invisibilidade,
Sexualidade, Teoria Queer",
2007,28,"Artigo Dossiê ""Sexualidades Disparatadas""",Camilo Albuquerque de Braz,PT,x,Brasil,"Macho versus Macho:
um olhar antropológico sobre práticas homoeróticas
entre homens em São Paulo","Gênero, Sexualidade, Homoerotismo,
Corporalidade, Subjetividade",
2007,28,"Artigo Dossiê ""Sexualidades Disparatadas""",Andrea Lacombe,PT,x,Brasil,"De entendidas e sapatonas:
socializações lésbicas e masculinidades em um bar
do Rio de Janeiro","Masculinidades, Lesbianismo, Estudos Queer,
Estudos de Gênero",
2007,28,"Artigo Dossiê ""Sexualidades Disparatadas""",Isadora Lins França,PT,x,Brasil,"Sobre “guetos” e “rótulos”:
tensões no mercado GLS na cidade de São Paulo","Sexualidade, Estilos de Vida, Consumo,
Homossexualidade, Identidade",
2007,28,"Artigo Dossiê ""Sexualidades Disparatadas""",Karla Bessa,PT,x,Brasil,"Os festivais GLBT de cinema
e as mudanças estético-políticas na constituição da
subjetividade","Cinema Queer, Sexualidade, Festivais GLBT
de Cinema",
2007,28,Artigo Regular,Alessandra El Far,PT,x,Brasil,"Crítica social e idéias médicas nos
excessos do desejo:
uma análise dos “romances para homens” de finais
do século XIX e início do XX","Literatura, Pornografia, História, Gênero, Raça,
Classe",
2007,28,Artigo Regular,Bernadete Beserra,PT ,x,Brasil,"Sob a sombra de Carmen Miranda e do
carnaval:
brasileiras em Los Angeles","Brasileiras Imigrantes, Brasileiros nos Estados
Unidos, Exotização, Negociação de Imagens",
2007,28,Artigo Regular,Petrônio Domingues,PT,x,Brasil,"Frentenegrinas:
notas de um capítulo da participação feminina na
história da luta anti-racista no Brasil","Mulher Negra, Negro, Racismo, Relações Raciais",
2007,29,"Artigo Dossiê ""Famílias em Movimento""",Elizabeth Jelin,ES,x,Argentina,"Víctimas, familiares y ciudadanos/as:
las luchas por la legitimidad de la palabra","Familismo, Maternalismo, Represión Política,
Secuestro de Niño/as, Argentina, Derechos
Humanos",
2007,29,"Artigo Dossiê ""Famílias em Movimento""",Mariza Corrêa,PT,x,Brasil,A babá de Freud e outras babás,"Babás/Governantas/Criadas, Freud, Trabalho
Doméstico, Migração de Mulheres",
2007,29,"Artigo Dossiê ""Famílias em Movimento""",Jurema Brites,PT,x,Brasil,"Afeto e desigualdade: gênero, geração e classe entre empregadas domésticas e seus empregadores"," Empregadas Domésticas, Famílias de Camadas
Médias, Reprodução Estratificada, Didática da
Distância Social",
2007,29,"Artigo Dossiê ""Famílias em Movimento""",Barbara Yngvesson,EN>PT,Claudia Fonseca,EUA,"Parentesco reconfigurado
no espaço da adoção"," Adoção Transnacional, Parentesco Idiomático,
Migrações, Identidade Étnica, Pertencimento
Nacional",
2007,29,"Artigo Dossiê ""Famílias em Movimento""",Marta Jardim,PT,x,Brasil,"De sogra para nora para sogra:
redes de comércio e de família em
Moçambique","Etnografia, Família, Hindus, Moçambique,
Sograria",
2007,29,"Artigo Dossiê ""Famílias em Movimento""","Clarice Ehlers Peixoto
Gleice Mattos Luz",PT,x,Brasil,"De uma morada à outra:
processos de re-coabitação entre as gerações","Deslocamentos Habitacionais, Coabitação,
Relações Intergeracionais",
2007,29,"Artigo Dossiê ""Famílias em Movimento""",Denise Fagundes Jardim,PT,x,Brasil,"Famílias palestinas no extremo sul do
Brasil e na diáspora:
experiências identitárias e aduaneiras","Família, Migrações, Diáspora, Nacionalidade,
Palestinos, Identidade Étnica",
2007,29,"Artigo Dossiê ""Famílias em Movimento""",Verónica Trpin,ES,x,Argentina,"Identidades en movimiento.
Familias chilenas en la fruticultura del Alto Valle de
Río Negro, Argentina","Migración Chilena, Familias, Fruticultura Trabajo Rural, Identidad Étnica y Nacional",
2007,29,"Artigo Dossiê ""Famílias em Movimento""","Carolyn Sargent
Stephanie Larchance-Kim
Samba Yatera",EN>PT,Ethon S. A. da Fonseca,EUA / França,"Migração e telecomunicações:
tecnologias e famílias transnacionais na França e
África Ocidental","Conexões Familiares, Imigrantes Africanos,
Comunicação, Tecnologia",
2007,29,"Artigo Dossiê ""Famílias em Movimento""",Petri Hautaniemi,EN>PT,Ethon S. A. da Fonseca,Finlândia,"Conectando famílias de construções
genéticas:
testes de DNA na reunificação da família somali na
Finlândia","Parentesco, Identidade, Imigração,
Reunificação Familiar, Testes de DNA",
2007,29,Artigo Regular,"Guita Grin Debert
Marcella Beraldo de Oliveira",PT,x,Brasil,"Os modelos conciliatórios de solução de
conflitos e a “violência doméstica”","Violência Doméstica, Conciliação, Delegacia de Defesa
da Mulher, Juizados Especiais Criminais",
2007,29,Artigo Regular,Carin Klein,PT,x,Brasil,"Mulher e família no Programa
Bolsa-Escola:
maternidades veiculadas e instituídas
pelos anúncios televisivos","Programa Nacional Bolsa-Escola, Maternidade,
Relações de Gênero",
2007,29,Artigo Regular,"Graciela de Souza Oliver
Silvia F. de M. Figueirôa",PT,x,Brasil,"Ceres, as mulheres e o sertão.
Representações sobre o feminino e a agricultura
brasileira na primeira metade do século XX","História das Ciências Agrícolas, História da
Agricultura, Engenheiras Agrônomas",
2007,29,Artigo Regular,Beatriz Polidori Zechlinski,PT,x,Brasil,"“A vida como ela é...”:
imagens do casamento e do amor
em Nelson Rodrigues","Relações de Gênero, Modelos Sociais, Discurso
Ficcional",
2007,29,Artigo Regular,"Cecília Vieira do Nascimento
Bernardo J. Oliveira",PT,x,Brasil,O Sexo Feminino em campanha pela emancipação da mulher," Imprensa Feminina, O Sexo Feminino, Direitos
da Mulher, Trabalho Feminino, Acesso à Ciência",
2008,30,"Artigo Dossiê ""Gênero e Islã""",Fatima Sadiqi,EN>PT, Silvana Ruffier Scarinci,Marrocos,"Estereótipos e mulheres na cultura
marroquina","Gênero, Mulheres, Estereótipos, Cultura
Marroquina",
