ANO,Nº,TIPO,AUTORIA,LÍNGUA DE PUBLICAÇÃO,TRADUTOR(A),LOCALIZAÇÃO DA AUTORIA (país),TÍTULO,PALAVRAS-         CHAVE,PLANILHA CITAÇÕES E REFS
1997,8/9,Artigo regular,Marilyn Strathern,EN>PT,Pedro Maia Soares,Inglaterra,ENTRE UMA MELANESIANISTA E UMA FEMINISTA,"Construcionismo,  Desconstrutivismo,  Perspectivas  Antropológicas, Perspectivas Feministas",CP_n08_09_1997_art2
1997,8/9,Artigo regular,Fabíola Rohden,PT,x,Brasil,CATOLICISMO E PROTESTANTISMO: O FEMINISMO COMO UMA QUESTÃO EMERGENTE,"Feminismo,   Religião,   Teologia,   Catolicismo,   Protestantismo",CP_n08_09_1997_art3
1997,8/9,Artigo regular,Philippe Lejeune,FR>PT,Simone Miziara Frangella,França,Diários de garotas francesas no século XIX: constituição e transgressão de um gênero literário,"Diários femininos,Século XIX,Subjetividade.",CP_n08_09_1997_art4
1997,8/9,Artigo regular,Berta W. Aldman,PT,x,Brasil,O império das paixões: uma leitura dos romances-folhetins de Nelson Rodrigues,"Melodrama,    Romance-Folhetim,    Escrita    Feminina, Paixão X Ordem Social",CP_n08_09_1997_art5
1997,8/9,Artigo regular,Mônica Raisa Schpun,PT,x,Brasil,O amor na literatura: um exercício de compreensão histórica," Mulheres, Anos 1920,  Relações Conjugais,  Estratégias Matrimoniais, Literatura",CP_n08_09_1997_art6
1997,8/9,Artigo regular,Margo l. Matwychuck,FR>PT,Simone Miziara Frangella,Canadá,"Estratégias de casamento, história de mulheres, e experiências de mulheres entre famílias de usineiros em Paraíba, Brasil","Estratégias    Matrimoniais,    Experiências    Femininas, História da Família, Empresas Familiares.",CP_n08_09_1997_art7
1997,8/9,Artigo regular,Rosana Catelli,PT,x,Brasil,Práticas femininas da memória paulista: uma leitura da correspondência dos Pacheco e Chaves,"Mulheres,  Memória,  Elite,  Família,  Brasil/  República. ",CP_n08_09_1997_art8
1997,8/9,Artigo regular,Margareth Rago,PT,x,Brasil,A liberdade entre a utopia e a história: Luce Fabbri e o anarquismo na América do Sul,"Anarquismo, Memória Feminina, Liberdade, Resistência Social.",CP_n08_09_1997_art9
1997,8/9,Artigo regular,Marco Aurélio Garcia,PT,x,Brasil,O gênero da militância: notas sobre as possibilidades de uma outra história da ação política,"Historio Oral, Memória, Gênero, Historiografia  Política",CP_n08_09_1997_art10
1997,8/9,Artigo regular,"Suely Kofes, Adriana Piscitelli",PT,x,Brasil,"Memórias de ""histórias femininas, memórias e experiências""","Gênero, Memórias, Experiências",CP_n08_09_1997_art11
1998,10,Artigo regular,Elizabeth Bortolaia Silva,PT,x,Inglaterra,Tecnologia e vida doméstica nos lares,"Tecnologias   do   Lar,   Inovações,   Trabalho   Doméstico, Relações Familiares",CP_n10_1998_art1
1998,10,Artigo regular,Fátima Oliveira,PT,x,Brasil,Biotecnologias de procriação e bioética,"Biotecnologia,     Bio-poder,     Sexualidade,     Tecnologias de Procriação.",CP_n10_1998_art2
1998,10,Artigo regular,Lucila Scavone,PT,x,Brasil,"Tecnologias reprodutivas: novas escolhas, antigos conflitos","Tecnologias    Reprodutivas,    Políticas    de    Saúde, Condições de Consumo",CP_n10_1998_art3
1998,10,Artigo regular,Angelo Soares,PT,x,Canadá,"Automação, (des)qualificação e emoção nos paraísos do consumo","  Caixas    de    Supermercado,    Emoção    e    Consumo, (Des)Qualificação.",CP_n10_1998_art4
1998,10,Artigo regular,Liliana Rolfsen Petrilli Segnini,PT,x,Brasil,Relações de gênero no trabalho bancário informatizado,"     Trabalho        Bancário,        Informática,        Feminilidade, Estresse",CP_n10_1998_art5
1998,10,Artigo regular,Clevi Elena Rapkiewicz,PT,x,Brasil,Informática: domínio masculino?,"Informática,     Segregação     de     Gênero,     Feminilização de Ocupações. ",CP_n10_1998_art6
1998,10,Artigo regular,Judy Wajcman,EN>PT,Patricia Pinho,Austrália,Tecnologia de produção: fazendo um trabalho de gênero,"  Tecnologias  de  Produção,  Divisões  Sexuais,  Construções Sociais de Gênero.",CP_n10_1998_art7
1998,10,Artigo regular,Maria Amália De A. Cunha,PT,x,Brasil,"No brilho do verniz, a corrosão das operárias","Lesão   por   Esforço   Repetitivo,   Trabalho   Fabril, Trabalho Doméstico, Doença Feminina.",CP_n10_1998_art8 
1998,10,Artigo regular,"Cibele Saliba Rizek, Márcia de Paula Leite",PT,x,Brasil,Dimensões e representações do trabalho fabril feminino,"Mulher     na     Produção,     Reestruturação     Produtiva, Desigualdades de gênero.",CP_n10_1998_art9
1998,10,Artigo regular,"Léa Velho, Elena León",PT,x,Brasil,A construção social da produção científica por mulheres,"Produção   Científica,   Construção   Social,   Unicamp, Mulheres.",CP_n10_1998_art10
1998,10,Artigo regular,Maria Margaret Lopes,PT,x,Brasil,“Aventureiras” nas ciências: Refletindo sobre gênero e história das ciências naturais no Brasil,"Estudos    Feministas,    Ciências    Naturais,    Literatura Americana, Ciências no Brasil.",CP_n10_1998_art11
1998,10,Artigo regular,Lucía Tosi,PT,x,França,"Mulher e ciência: a revolução científica, a caça às bruxas e a ciência moderna","Revolução   Científica,   Caça   às   Bruxas,   Mulher e Ciência.",CP_n10_1998_art12
1998,10,Artigo regular,Cynthia Cockburn,EN>PT,Patricia Pinho,Inglaterra,Os homens e a geração de mudanças,"Homens,    Mundo    do    Trabalho,    Mundo    Privado, Inovações Tecnológicas, Sindicatos e Política",CP_n10_1998_art13
1998,11,"Artigo de debate ""o uso da categoria gênero""",Judith Butler,EN>PT,Pedro Maia Soares,EUA,"Fundamentos contingentes: o feminismo e a questão do “pós-modernismo""","feminismo,    pós-modernismo,    pós-estruturalismo,sujeito, identidade",CP_n11_1998_art1
1998,11,"Artigo de debate ""o uso da categoria gênero""",Lia Zanotta Machado,PT,x,Brasil,"Masculinidade, sexualidade e estupro: as construções da virilidade","Masculinidade,   sexualidade,   gênero,   estupro,   erotismo,violência",CP_n11_1998_art2
